gen,desired_array_size,P_ref,t_TES_hours,solarm,PPA_USD_per_MWh,CF_hybrid,CF_pb,LCOE,Annual_Revenue_USD,PV_to_Grid_MWh,CSP_to_Grid_MWh,fitness_PPA,fitness_CF,status,note,timestamp
0,221000.0,146.0,10.5,4.6000000000000005,98.42758448861399,0.3293736497973433,0.04935781873004944,259.0458610020869,41489906.96712895,225404.64137948872,63126.675842984034,98.42758448861399,0.3293736497973433,ok,init; n_jobs=4,2025-11-21T19:56:00.753008+00:00
0,171500.0,150.0,6.0,1.1,40.17496612521173,0.5791954171111591,0.1857558299822736,114.03859592062608,33216647.83426848,263292.02479266777,244083.16059670752,40.17496612521173,0.5791954171111591,ok,init; n_jobs=4,2025-11-21T19:56:00.753016+00:00
0,238500.0,77.0,13.0,4.7,80.4841812285439,0.35500994960520565,0.10139616782666862,208.85790882858274,35442297.49281043,242594.97273171562,68393.74312244452,80.4841812285439,0.35500994960520565,ok,init; n_jobs=4,2025-11-21T19:56:00.753025+00:00
0,214500.0,76.0,5.5,2.6,43.88289006914441,0.4844485833279954,0.2072449836716554,122.86978796149789,29158301.093772896,286401.5386660827,137975.4203292413,43.88289006914441,0.4844485833279954,ok,init; n_jobs=4,2025-11-21T19:56:00.753035+00:00
0,68500.0,119.0,9.0,2.3000000000000003,42.90221522905927,0.4427339696947498,0.2563360547786161,136.39810391355184,29784937.31422303,120620.00050918023,267214.9569434206,42.90221522905927,0.4427339696947498,ok,init; n_jobs=4,2025-11-21T19:56:00.753044+00:00
0,97500.0,63.0,10.0,1.1,46.0551591114802,0.3058077184281572,0.17411704368292352,122.80144557134962,18546274.886024117,171795.84727533383,96091.71406773184,46.0551591114802,0.3058077184281572,ok,init; n_jobs=4,2025-11-21T19:56:00.753052+00:00
0,138000.0,84.0,8.5,3.9000000000000004,114.94077726820325,0.225168096269808,0.060441354823379985,283.0513049282539,30528894.541406292,152772.08579911588,44475.166533235926,114.94077726820325,0.225168096269808,ok,init; n_jobs=4,2025-11-21T19:56:00.753061+00:00
0,277500.0,146.0,16.0,4.9,84.87873825477591,0.4109435407129885,0.06298705086884528,228.6229733173825,45540106.3550479,279428.6230853595,80557.91857921836,84.87873825477591,0.4109435407129885,ok,init; n_jobs=4,2025-11-21T19:56:00.753070+00:00
0,207500.0,85.0,7.5,1.7000000000000002,38.57456491897225,0.5279033322534973,0.24073617035534092,108.85890658678912,28368651.214918766,283191.16660747677,179252.15244658684,38.57456491897225,0.5279033322534973,ok,init; n_jobs=4,2025-11-21T19:56:00.753080+00:00
0,298000.0,117.0,12.0,1.2000000000000002,39.719074223766725,0.6663271360800456,0.26444154999650354,111.52407552484584,36798054.11984191,312671.13778370357,271031.4334224164,39.719074223766725,0.6663271360800456,ok,init; n_jobs=4,2025-11-21T19:56:00.753088+00:00
