pv_size_kWdc,csp_size_MWe,tes_h,ppa,CF_hybrid,CF_pb,LCOE,Annual Revenue,PV to Grid MWh,CSP to Grid MWh
60000,100.0,12,59.00037099306508,0.6039325740560363,0.4886393326217188,103.00686887184104,51.455532614433196,100996.87949646213,428048.0553766257
60000,100.0,12,59.00037099306508,0.6039325740560363,0.4886393326217188,103.00686887184104,51.455532614433196,100996.87949646213,428048.0553766257
200000,125.0,16,87.15701021829973,0.7638672944185819,0.361122300875031,142.0465547862829,89.44096768301252,273718.8304525188,395428.91945815895
200000,125.0,16,87.15701021829973,0.7638672944185819,0.361122300875031,142.0465547862829,89.44096768301252,273718.8304525188,395428.91945815895
105000,100.0,14,63.87812627807527,0.6700689779736733,0.4683126444856696,107.57947811213525,59.54496425141426,176738.54813549112,410241.8765694466
105000,115.0,14,66.77833366524105,0.6851953339094767,0.42038173949693314,111.87894367762394,63.331818767855495,176738.54813549112,423492.56436921045
75000,110.0,14,62.26735104665858,0.6506002484365987,0.4604459415154303,106.35795416241825,57.20666702609241,126240.10838619183,443685.7092442686
145000,125.0,14,75.107485610002,0.7237808524084521,0.3648522868204023,123.64111711187327,73.86599057540613,234518.77264146353,399513.2540683405
190000,130.0,14,85.67740624635103,0.7528337456256786,0.34349997408867483,139.6765334749037,86.70837599044694,268304.59067591163,391177.77049218287
175000,125.0,14,81.2834419336627,0.7444924388340779,0.3587393247991684,132.87116065803284,81.59178673110249,259355.81576356274,392819.56065508944
175000,125.0,14,81.2834419336627,0.7444924388340779,0.3587393247991684,132.87116065803284,81.59178673110249,259355.81576356274,392819.56065508944
120000,110.0,14,68.1661979691283,0.6996137818125064,0.426433067830445,113.30825515663557,65.45912298350962,201950.76870633883,410910.9041614168
120000,125.0,14,70.64632540172829,0.7006639325247368,0.37610122026057596,117.65723852805075,68.09088016491062,201950.76870633883,411830.8361853307
130000,125.0,14,72.42985592943606,0.7105051564368214,0.3704325641654093,119.99144962530319,70.39765166386924,216778.85927753238,405623.6577611232
130000,125.0,14,72.42985592943606,0.7105051564368214,0.3704325641654093,119.99144962530319,70.39765166386924,216778.85927753238,405623.6577611232
65000,115.0,12,62.15490303984905,0.6333262663441589,0.44203874316939284,106.7509681029322,55.91871004919637,109483.97944863692,445309.82986884634
65000,100.0,12,59.49063594284956,0.6097231984892795,0.48474148678992224,103.53088538681966,52.20577559961023,109483.97944863692,424633.5424279719
160000,125.0,14,78.06072308546237,0.7348229251489035,0.36111771317126623,127.98421187962603,77.59817397797019,248280.98650790297,395423.8959225365
160000,125.0,14,78.06072308546237,0.7348229251489035,0.36111771317126623,127.98421187962603,77.59817397797019,248280.98650790297,395423.8959225365
195000,125.0,14,85.83999810939667,0.755857826951825,0.3571453346049638,139.76788077622234,87.09839453033321,271057.31501736335,391074.14139243535
60000,110.0,12,60.81942017583961,0.626075172334847,0.4643472099095722,104.86973376605327,54.3070471213397,100996.87949646213,447444.9714688638
75000,95.0,16,60.32375368881412,0.6175827362801127,0.4983926563268288,103.62596242911853,52.9052586966021,126240.10838619183,414762.3685951869
60000,115.0,14,61.82830032349245,0.6317425841432157,0.44908638496425934,106.91910605248522,55.86724048263094,100996.87949646213,452409.6242129949
120000,130.0,16,71.82741552203416,0.7041425963493927,0.3643116839618275,119.84477673786812,69.7002454496318,201950.76870633883,414878.1456957292
