timestep,price_EUR_per_MWh,pv_to_grid_MWe,pv_to_heater_MWe,csp_to_pb_MWt,csp_to_tes_MWt,tes_charge_MWt,tes_discharge_MWt,tes_energy_MWht,pb_electric_MWe,spill_pv_MWe,spill_csp_MWt
49,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3691.8379745191,0.0,0.0,0.0
50,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3688.14613654458,0.0,0.0,0.0
51,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3684.45799040803,0.0,0.0,0.0
52,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3680.77353241762,0.0,0.0,0.0
53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3677.09275888521,0.0,0.0,0.0
54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3673.41566612632,0.0,0.0,0.0
55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3669.74225046019,0.0,0.0,0.0
56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3666.07250820973,0.0,0.0,0.0
57,1.0,19.7136112278447,0.0,0.0,0.0,0.0,0.0,3662.40643570152,0.0,0.0,0.0
58,1.0,20.0826494807443,0.0,0.0,0.0,0.0,0.0,3658.74402926582,0.0,0.0,0.0
59,1.0,31.1607254893002,0.0,0.0,0.0,0.0,0.0,3655.08528523656,0.0,0.0,0.0
60,1.0,27.2870263480924,0.0,0.0,0.0,0.0,0.0,3651.43019995132,0.0,0.0,0.0
61,1.0,21.3492295096526,0.0,0.0,0.0,0.0,0.0,3647.77876975137,0.0,0.0,0.0
62,1.0,25.9403291972741,0.0,0.0,0.0,0.0,0.0,3644.13099098162,0.0,0.0,0.0
63,1.0,24.4117509253975,0.0,0.0,0.0,0.0,0.0,3640.48685999064,0.0,0.0,0.0
64,1.0,13.0210299434763,0.0,0.0,0.0,0.0,0.0,3636.84637313065,0.0,0.0,0.0
65,2.0,0.0,0.0,0.0,0.0,0.0,250.0,3380.68427423226,100.0,0.0,0.0
66,2.0,0.0,0.0,0.0,0.0,0.0,250.0,3124.77833743278,100.0,0.0,0.0
67,2.0,0.0,0.0,0.0,0.0,0.0,250.0,2869.12830657009,100.0,0.0,0.0
68,2.0,0.0,0.0,0.0,0.0,0.0,250.0,2613.73392573827,100.0,0.0,0.0
69,2.0,0.0,0.0,0.0,0.0,0.0,250.0,2358.59493928728,100.0,0.0,0.0
70,2.0,0.0,0.0,0.0,0.0,0.0,250.0,2103.71109182274,100.0,0.0,0.0
71,2.0,0.0,0.0,0.0,0.0,0.0,250.0,1849.08212820566,100.0,0.0,0.0
72,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1847.23304607746,0.0,0.0,0.0
73,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1845.38581303138,0.0,0.0,0.0
74,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1843.54042721835,0.0,0.0,0.0
75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1841.69688679113,0.0,0.0,0.0
76,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1839.85518990434,0.0,0.0,0.0
77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1838.01533471443,0.0,0.0,0.0
78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1836.17731937972,0.0,0.0,0.0
79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1834.34114206034,0.0,0.0,0.0
80,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1832.50680091828,0.0,0.0,0.0
81,1.0,12.3472648618842,0.0,0.0,0.0,0.0,0.0,1830.67429411736,0.0,0.0,0.0
82,1.0,14.601261871799,0.0,0.0,0.0,0.0,0.0,1828.84361982324,0.0,0.0,0.0
83,1.0,14.2045563184582,0.0,0.0,0.0,0.0,0.0,1827.01477620342,0.0,0.0,0.0
84,1.0,11.7684690786573,0.0,0.0,0.0,0.0,0.0,1825.18776142722,0.0,0.0,0.0
85,1.0,14.1110197398163,0.0,0.0,0.0,0.0,0.0,1823.36257366579,0.0,0.0,0.0
86,1.0,19.1658467379502,0.0,0.0,0.0,0.0,0.0,1821.53921109212,0.0,0.0,0.0
87,1.0,25.6277908723937,0.0,0.0,0.0,0.0,0.0,1819.71767188103,0.0,0.0,0.0
88,1.0,9.93885438583115,0.0,0.0,0.0,0.0,0.0,1817.89795420915,0.0,0.0,0.0
89,2.0,0.0,0.0,0.0,0.0,0.0,250.0,1563.55480372969,100.0,0.0,0.0
90,2.0,0.0,0.0,0.0,0.0,0.0,250.0,1309.46599640071,100.0,0.0,0.0
91,2.0,0.0,0.0,0.0,0.0,0.0,250.0,1055.63127787905,100.0,0.0,0.0
92,2.0,0.0,0.0,0.0,0.0,0.0,250.0,802.050394075923,100.0,0.0,0.0
93,2.0,0.0,0.0,0.0,0.0,0.0,250.0,548.723091156594,100.0,0.0,0.0
94,2.0,0.0,0.0,0.0,0.0,0.0,250.0,295.649115540185,100.0,0.0,0.0
95,2.0,0.0,0.0,0.0,0.0,0.0,250.0,42.8282138993925,100.0,0.0,0.0
96,0.5,0.0,0.0,0.0,0.0,0.0,0.0,42.7853856854931,0.0,0.0,0.0
