Hour,AC_kWh,POA_kWh/m2
65,10532.665520536124,107.13673210377053
66,-0.15630000000000002,0.0
67,-0.15630000000000002,0.0
68,-0.15630000000000002,0.0
69,-0.15630000000000002,0.0
70,-0.15630000000000002,0.0
71,-0.15630000000000002,0.0
72,-0.15630000000000002,0.0
73,-0.15630000000000002,0.0
74,-0.15630000000000002,0.0
75,-0.15630000000000002,0.0
76,-0.15630000000000002,0.0
77,-0.15630000000000002,0.0
78,-0.15630000000000002,0.0
79,-0.15630000000000002,0.0
80,-0.15630000000000002,0.0
81,-0.15630000000000002,0.0
82,9995.747494451,135.21140414553793
83,11812.912623207225,118.0617480453083
84,11491.126913966784,114.69682407337694
85,9524.6355616744,96.67910104111606
86,11412.381770282958,115.41361546018304
87,15488.372358493056,154.91462315407324
88,20698.580702762127,205.79945969502106
89,8047.70489402081,82.81902450607834
90,-0.15630000000000002,0.0
91,-0.15630000000000002,0.0
92,-0.15630000000000002,0.0
93,-0.15630000000000002,0.0
94,-0.15630000000000002,0.0
95,-0.15630000000000002,0.0
96,-0.15630000000000002,0.0
97,-0.15630000000000002,0.0
98,-0.15630000000000002,0.0
99,-0.15630000000000002,0.0
100,-0.15630000000000002,0.0
101,-0.15630000000000002,0.0
102,-0.15630000000000002,0.0
103,-0.15630000000000002,0.0
104,-0.15630000000000002,0.0
105,-0.15630000000000002,0.0
106,15183.763096654038,201.76620063232915
107,22336.373798320215,217.704288620162
108,17458.785534058483,169.91140257316653
109,39785.15029787008,385.82634549653477
110,42410.864446711756,413.4033468564782
111,11576.238142937464,115.52092020559296
112,17374.197249723642,170.97104076444313
113,4603.739965485879,48.45302325300038
114,-0.15630000000000002,0.0
115,-0.15630000000000002,0.0
116,-0.15630000000000002,0.0
117,-0.15630000000000002,0.0
118,-0.15630000000000002,0.0
119,-0.15630000000000002,0.0
120,-0.15630000000000002,0.0
121,-0.15630000000000002,0.0
122,-0.15630000000000002,0.0
123,-0.15630000000000002,0.0
124,-0.15630000000000002,0.0
125,-0.15630000000000002,0.0
126,-0.15630000000000002,0.0
127,-0.15630000000000002,0.0
128,-0.15630000000000002,0.0
129,-0.15630000000000002,0.0
130,6286.020923116869,85.62118515227753
131,8934.132630770173,88.75277429885146
132,10758.601779309709,105.39535191143835
133,10707.965124156945,105.32259536414003
134,9151.508980531959,90.52617837553271
135,6465.214315768771,64.93998281253118
136,6600.394583667622,65.81398016040359
137,4257.786325424891,43.877720423298996
138,-0.15630000000000002,0.0
139,-0.15630000000000002,0.0
140,-0.15630000000000002,0.0
141,-0.15630000000000002,0.0
142,-0.15630000000000002,0.0
143,-0.15630000000000002,0.0
144,-0.15630000000000002,0.0
145,-0.15630000000000002,0.0
146,-0.15630000000000002,0.0
147,-0.15630000000000002,0.0
148,-0.15630000000000002,0.0
149,-0.15630000000000002,0.0
150,-0.15630000000000002,0.0
151,-0.15630000000000002,0.0
152,-0.15630000000000002,0.0
153,-0.15630000000000002,0.0
154,18986.430971786795,242.36959434263264
155,7679.514050675021,75.52524536515041
156,21566.92068476965,203.26923346479884
157,38773.34890479279,367.011257980871
158,49587.8426403484,475.12634511719847
159,8066.852103951142,80.2702702675467
160,14904.548524004924,144.17460790268717
161,3677.353398031779,38.547493045448064
162,-0.15630000000000002,0.0
163,-0.15630000000000002,0.0
164,-0.15630000000000002,0.0
165,-0.15630000000000002,0.0
166,-0.15630000000000002,0.0
167,-0.15630000000000002,0.0
168,-0.15630000000000002,0.0
169,-0.15630000000000002,0.0
170,-0.15630000000000002,0.0
171,-0.15630000000000002,0.0
172,-0.15630000000000002,0.0
173,-0.15630000000000002,0.0
174,-0.15630000000000002,0.0
175,-0.15630000000000002,0.0
176,-0.15630000000000002,0.0
177,-0.15630000000000002,0.0
178,14611.895793556152,187.23176527962028
179,43732.4512350002,427.5738834295749
180,61047.59477905123,608.9409096604413
181,68912.75952918532,704.1414237662176
182,62845.0485119252,640.7197569601204
183,62489.873766903926,645.2688404155617
184,33627.74720869632,334.0990401644524
185,37273.737652934135,368.2048697624826
186,-0.15630000000000002,0.0
187,-0.15630000000000002,0.0
188,-0.15630000000000002,0.0
189,-0.15630000000000002,0.0
190,-0.15630000000000002,0.0
191,-0.15630000000000002,0.0
192,-0.15630000000000002,0.0
193,-0.15630000000000002,0.0
194,-0.15630000000000002,0.0
195,-0.15630000000000002,0.0
196,-0.15630000000000002,0.0
197,-0.15630000000000002,0.0
198,-0.15630000000000002,0.0
199,-0.15630000000000002,0.0
200,-0.15630000000000002,0.0
201,-0.15630000000000002,0.0
202,13149.354131008777,167.38209925297778
203,22226.002545886156,213.49351682165377
204,29816.650792353757,284.5198442915897
205,19341.51032992078,186.62320544916068
206,27052.36243722775,260.9579297312522
207,16689.800533916277,162.35227900380264
208,20788.297791340963,201.071432358562
209,13735.556499306045,134.3988746972264
210,-0.15630000000000002,0.0
211,-0.15630000000000002,0.0
212,-0.15630000000000002,0.0
213,-0.15630000000000002,0.0
214,-0.15630000000000002,0.0
215,-0.15630000000000002,0.0
216,-0.15630000000000002,0.0
217,-0.15630000000000002,0.0
218,-0.15630000000000002,0.0
219,-0.15630000000000002,0.0
220,-0.15630000000000002,0.0
221,-0.15630000000000002,0.0
222,-0.15630000000000002,0.0
223,-0.15630000000000002,0.0
224,-0.15630000000000002,0.0
225,-0.15630000000000002,0.0
226,16562.374739415496,211.13472164215915
227,37839.88105722007,366.0390624110423
228,40472.12601192661,388.2134220542779
229,40371.477275164245,388.88311170467955
230,45057.326176218114,436.5666715696889
231,35628.59283436917,345.44545774832653
232,22138.624452941796,215.6161137763137
233,21941.722436905377,214.49748366760167
234,-0.15630000000000002,0.0
235,-0.15630000000000002,0.0
236,-0.15630000000000002,0.0
237,-0.15630000000000002,0.0
238,-0.15630000000000002,0.0
239,-0.15630000000000002,0.0
240,-0.15630000000000002,0.0
241,-0.15630000000000002,0.0
242,-0.15630000000000002,0.0
243,-0.15630000000000002,0.0
244,-0.15630000000000002,0.0
245,-0.15630000000000002,0.0
246,-0.15630000000000002,0.0
247,-0.15630000000000002,0.0
248,-0.15630000000000002,0.0
249,-0.15630000000000002,0.0
250,14338.460648212067,178.34731190079953
251,40499.89235844012,387.6014396913588
252,13495.513747974992,130.81137277369993
253,5258.182137042632,54.37846593418182
254,74913.65727490828,738.6679898480565
255,71481.1371454712,704.5156779314169
256,58875.42709030105,574.5024788281653
257,27568.21072208962,267.23446395424423
258,-0.15630000000000002,0.0
259,-0.15630000000000002,0.0
260,-0.15630000000000002,0.0
261,-0.15630000000000002,0.0
262,-0.15630000000000002,0.0
263,-0.15630000000000002,0.0
264,-0.15630000000000002,0.0
265,-0.15630000000000002,0.0
266,-0.15630000000000002,0.0
267,-0.15630000000000002,0.0
268,-0.15630000000000002,0.0
269,-0.15630000000000002,0.0
270,-0.15630000000000002,0.0
271,-0.15630000000000002,0.0
272,-0.15630000000000002,0.0
273,-0.15630000000000002,0.0
274,14580.314062017846,180.50705565438992
275,40235.73812409085,394.95105294553065
276,59087.933980451875,594.6580582235334
277,69061.22090285206,710.7799774503738
278,68357.2188489263,709.8016296879784
279,64275.428765999575,671.8621719461946
280,58207.30329725459,597.2538146592029
281,7987.5530635510395,81.422376026016
282,-0.15630000000000002,0.0
283,-0.15630000000000002,0.0
284,-0.15630000000000002,0.0
285,-0.15630000000000002,0.0
286,-0.15630000000000002,0.0
287,-0.15630000000000002,0.0
288,-0.15630000000000002,0.0
289,-0.15630000000000002,0.0
290,-0.15630000000000002,0.0
291,-0.15630000000000002,0.0
292,-0.15630000000000002,0.0
293,-0.15630000000000002,0.0
294,-0.15630000000000002,0.0
295,-0.15630000000000002,0.0
296,-0.15630000000000002,0.0
297,-0.15630000000000002,0.0
298,12189.92165217235,150.14429740081098
299,30865.579163556602,298.7999169760409
300,45330.57666956962,438.8516538231984
301,48442.52153933217,472.1691238349428
302,19506.489692994706,190.7262998739468
303,25495.450894208017,248.19585041130813
304,31401.52899269195,304.9109874316999
305,6213.484762991219,63.25247491521013
306,-0.15630000000000002,0.0
307,-0.15630000000000002,0.0
308,-0.15630000000000002,0.0
309,-0.15630000000000002,0.0
310,-0.15630000000000002,0.0
311,-0.15630000000000002,0.0
312,-0.15630000000000002,0.0
313,-0.15630000000000002,0.0
314,-0.15630000000000002,0.0
315,-0.15630000000000002,0.0
316,-0.15630000000000002,0.0
317,-0.15630000000000002,0.0
318,-0.15630000000000002,0.0
319,-0.15630000000000002,0.0
320,-0.15630000000000002,0.0
321,-0.15630000000000002,0.0
322,17560.24199916373,212.20158100570686
323,30368.82755824956,293.78957399723095
324,22765.278480441495,219.909405468638
325,57420.912520603204,569.5628546339368
326,27114.49659483298,264.3600934734118
327,20677.516234200037,202.40679588432664
328,12232.003390393485,120.5996981371974
329,1109.0443983249957,13.995480211108422
330,-0.15630000000000002,0.0
331,-0.15630000000000002,0.0
332,-0.15630000000000002,0.0
333,-0.15630000000000002,0.0
334,-0.15630000000000002,0.0
335,-0.15630000000000002,0.0
336,-0.15630000000000002,0.0
337,-0.15630000000000002,0.0
338,-0.15630000000000002,0.0
339,-0.15630000000000002,0.0
340,-0.15630000000000002,0.0
341,-0.15630000000000002,0.0
342,-0.15630000000000002,0.0
343,-0.15630000000000002,0.0
344,-0.15630000000000002,0.0
345,-0.15630000000000002,0.0
346,16754.55315123105,198.12473683473678
347,45971.466738864816,443.2064335035357
348,64107.58764882471,628.2974907278249
349,74164.61402778741,744.7647188204304
350,75215.82,789.4108973277572
351,73745.7562492085,754.4231621243482
352,60710.0291897174,614.3311209668798
353,39659.70670507119,394.6435074589469
354,-0.15630000000000002,0.0
355,-0.15630000000000002,0.0
356,-0.15630000000000002,0.0
357,-0.15630000000000002,0.0
358,-0.15630000000000002,0.0
359,-0.15630000000000002,0.0
360,-0.15630000000000002,0.0
361,-0.15630000000000002,0.0
362,-0.15630000000000002,0.0
363,-0.15630000000000002,0.0
364,-0.15630000000000002,0.0
365,-0.15630000000000002,0.0
366,-0.15630000000000002,0.0
367,-0.15630000000000002,0.0
368,-0.15630000000000002,0.0
369,-0.15630000000000002,0.0
370,16587.05528017099,195.35701344610433
371,43631.37289739564,426.4932521953122
372,60978.98758213926,604.7371554890804
373,70358.37883957136,710.9583417036978
374,74922.21777228206,766.629615842673
375,70406.6661012332,719.3649125178855
376,57492.779588727666,580.416861622495
377,38779.01892065207,385.772695451878
378,-0.15630000000000002,0.0
379,-0.15630000000000002,0.0
380,-0.15630000000000002,0.0
381,-0.15630000000000002,0.0
382,-0.15630000000000002,0.0
383,-0.15630000000000002,0.0
384,-0.15630000000000002,0.0
385,-0.15630000000000002,0.0
386,-0.15630000000000002,0.0
387,-0.15630000000000002,0.0
388,-0.15630000000000002,0.0
389,-0.15630000000000002,0.0
390,-0.15630000000000002,0.0
391,-0.15630000000000002,0.0
392,-0.15630000000000002,0.0
393,-0.15630000000000002,0.0
394,21245.29068253288,249.21741455728272
395,31471.77512495769,305.4673016259016
396,51036.48683845697,501.24217964471
397,70392.53388959057,708.6758588427202
398,75215.82,764.9683449051795
399,71055.85872250992,717.5147860318981
400,60118.9367429478,601.5882975453275
401,39140.86704474111,386.07608032878267
402,-0.15630000000000002,0.0
403,-0.15630000000000002,0.0
404,-0.15630000000000002,0.0
405,-0.15630000000000002,0.0
406,-0.15630000000000002,0.0
407,-0.15630000000000002,0.0
408,-0.15630000000000002,0.0
409,-0.15630000000000002,0.0
410,-0.15630000000000002,0.0
411,-0.15630000000000002,0.0
412,-0.15630000000000002,0.0
413,-0.15630000000000002,0.0
414,-0.15630000000000002,0.0
415,-0.15630000000000002,0.0
416,-0.15630000000000002,0.0
417,-0.15630000000000002,0.0
418,16879.456785907783,195.1433013741476
419,42849.28897297009,424.3476309727318
420,58328.03206540525,593.8329615022111
421,67229.24148974672,697.9820312573453
422,72806.0904282042,759.788051087385
423,68814.62847564841,712.4582320938385
424,42175.999773341784,424.8519167719275
425,39897.54138271292,399.54760054012877
426,-0.15630000000000002,0.0
427,-0.15630000000000002,0.0
428,-0.15630000000000002,0.0
429,-0.15630000000000002,0.0
430,-0.15630000000000002,0.0
431,-0.15630000000000002,0.0
432,-0.15630000000000002,0.0
433,-0.15630000000000002,0.0
434,-0.15630000000000002,0.0
435,-0.15630000000000002,0.0
436,-0.15630000000000002,0.0
437,-0.15630000000000002,0.0
438,-0.15630000000000002,0.0
439,-0.15630000000000002,0.0
440,-0.15630000000000002,0.0
441,-0.15630000000000002,0.0
442,21943.936111255072,250.6522052217069
443,44022.66059890511,435.1889394856158
444,60295.622076892294,608.9303286271692
445,68250.03368480547,693.000501360098
446,74207.55581884657,756.8398537463783
447,69649.67405159186,708.3697525116141
448,59696.41249444663,601.6362016312761
449,40066.23255682844,398.6981626520409
450,-0.15630000000000002,0.0
451,-0.15630000000000002,0.0
452,-0.15630000000000002,0.0
453,-0.15630000000000002,0.0
454,-0.15630000000000002,0.0
455,-0.15630000000000002,0.0
456,-0.15630000000000002,0.0
457,-0.15630000000000002,0.0
458,-0.15630000000000002,0.0
459,-0.15630000000000002,0.0
460,-0.15630000000000002,0.0
461,-0.15630000000000002,0.0
462,-0.15630000000000002,0.0
463,-0.15630000000000002,0.0
464,-0.15630000000000002,0.0
465,-0.15630000000000002,0.0
466,16874.996702940247,191.9794024755701
467,38633.84772291248,380.8356703214467
468,55443.56798462238,553.9468285337756
469,62115.58527112411,627.9890543968745
470,60134.824140804616,609.8702242358386
